 Episode,Pokemon,,#,Winner,Winner,,,
51,Venonat,,,,,,,
,Burmy,,1,Venonat,,,,
,Dracozolt,,,,,,,
,Magearna,,2,Dracozolt,,,,
,Mantine,,,,,,,
,Kommo-o,,3,Kommo-o,,,,
,Pinsir,,,,,,,
,Stakataka,,4,Stakataka,,,,
,Tyrogue,,,,,,,
,Emolga,,5,Emolga,,,,
,Quagsire,,,,,,,
,Mantyke,,6,Quagsire,,,,
,Alcremie,,,,,,,
,Skiddo,,7,Alcremie,,,,
,Sealeo,,,,,,,
,Morpeko,,8,Morpeko,,,,
52,Horsea,,,,,,,
,Surskit,,9,Horsea,,,,
,Koffing,,,,,,,
,Zubat,,10,Koffing,,,,
,Espeon,,,,,,,
,Torchic,,11,Espeon,,,,
,Ariados,,,,,,,
,Meowth,,12,Ariados,,,,
,Banette,,,,,,,
,Arcanine,,13,Arcanine,,,,
,Torterra,,,,,,,
,Fennekin,,14,Torterra,,,,
,Loudred,,,,,,,
,Hattrem,,15,Loudred,,,,
,Crustle,,,,,,,
,Rampardos,,16,Rampardos,,,,
53,Alakazam,,,,,,,
,Cradily,,17,Cradily,,,,
,Shroomish,,,,,,,
,Teddiursa,,18,Teddiursa,,,,
,Glalie,,,,,,,
,Beldum,,19,Glalie,,,,
,Cubchoo,,,,,,,
,Tangela,,20,Tangela,,,,
,Unfezant,,,,,,,
,Tirtouga,,21,Tirtouga,,,,
,Perrserker,,,,,,,
,Wormadam,,22,Perrserker,,,,
,Darkrai,,,,,,,
,Hatterene,,23,Darkrai,,,,
,Unown,,,,,,,
,Lapras,,24,Unown,,,,
54,Blacephalon,,,,,,,
,Klang,,25,Blacephalon,,,,
,Stufful,,,,,,,
,Hariyama,,26,Hariyama,,,,
,Empoleon,,,,,,,
,Poipole,,27,Empoleon,,,,
,Buneary,,,,,,,
,Cleffa,,28,Cleffa,,,,
,Oddish,,,,,,,
,Vibrava,,29,Oddish,,,,
,Hitmonchan,,,,,,,
,Spectrier,,30,Hitmonchan,,,,
,Corviknight,,,,,,,
,Greninja,,31,Corviknight,,,,
,Morgrem,,,,,,,
,Applin,,32,Morgrem,,,,
,Snivy,,,,,,,
,Electrike,,33,Snivy,,,,
55,Muk,,,,,,,
,Seedot,,34,Muk,,,,
,Barbaracle,,,,,,,
,Greedent,,35,Barbaracle,,,,
,Mudbray,,,,,,,
,Gourgeist,,36,Gourgeist,,,,
,Gardevoir,,,,,,,
,Aron,,37,Aron,,,,
,Zangoose,,,,,,,
,Leavanny,,38,Zangoose,,,,
,Seviper,,,,,,,
,Chikorita,,39,Chikorita,,,,
,Slugma,,,,,,,
,Solgaleo,,40,Solgaleo,,,,
,Meganium,,,,,,,
,Bewear,,41,Bewear,,,,
,Magby,,,,,,,
,Spinda,,42,Spinda,,,,
56,Goodra,,,,,,,
,Wishiwashi,,43,Goodra,,,,
,Nidorina,,,,,,,
,Politoed,,44,Politoed,,,,
,Zacian,,,,,,,
,Flygon,,45,Flygon,,,,
,Darumaka,,,,,,,
,Gogoat,,46,Darumaka,,,,
,Marowak,,,,,,,
,Electivire,,47,Marowak,,,,
,Dusknoir,,,,,,,
,Tapu Bulu,,48,Tapu Bulu,,,,
,Torracat,,,,,,,
